,id,address,categories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province,average_price,GDP
629,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Fresh tomatoes, fresh mozzarella, garlic, and a touch of Parmesan and basil.",Margherita Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
630,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Sausage, pepperoni, ham, bacon, and meatball.",Meat Stuffed Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
631,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Spinach, feta, garlic, olives, and mozzarella (white) .",Mediterranean Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
632,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Sauce, broccoli, eggplant, olives, roasted peppers, garlic, and a touch of Parmesan.",Mona Lisa Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
633,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Eggplant, fresh tomatoes, spinach, tomato sauce, and mozzarella.",Ortolano Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
634,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Fresh tomatoes, garlic, and mozzarella.",Pesto Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
635,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Shrimp, clams, garlic, olive oil, and mozzarella (red or white) .",Seafood Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
636,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Shrimp, alfredo sauce, mushrooms, and mozzarella.",Shrimp Alfredo Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
637,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Garlic, special sauce, shrimp, and mozzarella.",Shrimp Scampi Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
638,AVwckjoOIN2L1WUfmdJP,15 Route 236,"Restaurant,Pizza,Italian Restaurants,Caterers,Take Out Restaurants,Restaurants",Clifton Park,US,us/elnora/cliftonpark/15route236/1583810352,42.83774,-73.738235,,15.25,15.25,USD,2016-05-05T12:36:25Z,"Mushrooms, green peppers, onions, mozzarella, and American cheese. Comes in hot, BBQ, or ketchup.",Steak Pizza,Labella Pizza and Pasta,12065,,,,Elnora,15.25,146826
